domain,family,complexity,seed,n,c1,c2,mean,std,gen_s,error
fluid,curl_weave,0.200,6,512,1.911072,-0.045902,0.477082,0.185045,14.908378,
fluid,curl_weave,0.200,9,512,1.928824,-0.044638,0.469183,0.199889,12.781074,
fluid,curl_weave,0.200,7,512,1.933127,-0.036247,0.516330,0.158495,17.489430,
fluid,curl_weave,0.200,10,512,1.951476,-0.031811,0.505565,0.206223,11.264955,
fluid,curl_weave,0.200,8,512,1.953609,-0.028497,0.458347,0.170422,19.401439,
fluid,curl_weave,0.200,11,512,1.929080,-0.039382,0.436218,0.186423,17.360819,
fluid,curl_weave,0.300,1,512,1.915022,-0.033980,0.463170,0.240910,17.305461,
fluid,curl_weave,0.300,3,512,1.876174,-0.051743,0.499784,0.174491,14.418633,
fluid,curl_weave,0.300,0,512,1.885455,-0.053853,0.526685,0.165988,18.602245,
fluid,curl_weave,0.300,2,512,1.930649,-0.034460,0.394888,0.181858,17.549199,
fluid,curl_weave,0.300,5,512,1.919491,-0.049001,0.564643,0.176997,14.646594,
fluid,curl_weave,0.300,4,512,1.902723,-0.069110,0.605266,0.184311,23.073296,
fluid,curl_weave,0.300,6,512,1.881529,-0.050085,0.480028,0.181919,20.748507,
fluid,curl_weave,0.300,7,512,1.912249,-0.038271,0.510541,0.158037,15.242124,
fluid,curl_weave,0.300,10,512,1.894157,-0.047368,0.507366,0.204454,14.300019,
fluid,curl_weave,0.300,9,512,1.899519,-0.033362,0.470086,0.198337,16.302050,
fluid,curl_weave,0.300,8,512,1.881716,-0.041180,0.452908,0.169713,17.457933,
fluid,curl_weave,0.400,0,512,1.810280,-0.051315,0.526699,0.165766,16.871318,
fluid,curl_weave,0.300,11,512,1.914469,-0.067557,0.436636,0.183767,24.268314,
fluid,curl_weave,0.400,3,512,1.866149,-0.062696,0.499190,0.173981,17.433099,
fluid,curl_weave,0.400,5,512,1.851486,-0.062376,0.561164,0.176848,17.893608,
fluid,curl_weave,0.400,4,512,1.870922,-0.057221,0.610608,0.181926,21.954194,
fluid,curl_weave,0.400,7,512,1.862694,-0.061066,0.506783,0.158680,18.082479,
fluid,curl_weave,0.400,2,512,1.894603,-0.062062,0.394423,0.179931,26.781455,
fluid,curl_weave,0.400,1,512,1.871891,-0.064755,0.462792,0.234990,28.342059,
fluid,curl_weave,0.400,6,512,1.860130,-0.072248,0.478175,0.180989,24.976484,
fluid,curl_weave,0.400,9,512,1.844458,-0.081719,0.462128,0.193360,17.622597,
fluid,curl_weave,0.400,8,512,1.846843,-0.055144,0.448129,0.168695,27.020684,
fluid,curl_weave,0.400,11,512,1.852839,-0.083793,0.433864,0.183109,20.321026,
fluid,curl_weave,0.500,2,512,1.868880,-0.082081,0.400135,0.176667,21.866617,
fluid,curl_weave,0.500,3,512,1.842436,-0.096475,0.505512,0.175511,20.501443,
fluid,curl_weave,0.400,10,512,1.825655,-0.062395,0.499618,0.203161,28.893808,
fluid,curl_weave,0.500,4,512,1.864831,-0.082662,0.606745,0.180968,18.241038,
fluid,curl_weave,0.500,0,512,1.795827,-0.072599,0.533499,0.162831,28.035285,
fluid,curl_weave,0.500,1,512,1.835353,-0.093360,0.457255,0.228952,31.612029,
fluid,curl_weave,0.500,5,512,1.869609,-0.078687,0.548459,0.175837,26.321214,
fluid,curl_weave,0.500,6,512,1.795293,-0.090778,0.484042,0.176676,24.226017,
fluid,curl_weave,0.500,9,512,1.808834,-0.082166,0.456524,0.193136,20.259001,
fluid,curl_weave,0.500,8,512,1.827441,-0.056155,0.439244,0.167763,24.539986,
fluid,curl_weave,0.500,10,512,1.810370,-0.077290,0.500946,0.202250,23.781760,
fluid,curl_weave,0.500,11,512,1.814404,-0.087633,0.433462,0.180805,23.206448,
fluid,curl_weave,0.500,7,512,1.800420,-0.073452,0.499728,0.159794,29.138627,
fluid,curl_weave,0.600,0,512,1.769956,-0.089584,0.530741,0.159832,24.466981,
fluid,curl_weave,0.600,3,512,1.798830,-0.097405,0.519781,0.175871,23.602368,
fluid,curl_weave,0.600,2,512,1.795455,-0.118403,0.410423,0.175729,29.326658,
fluid,curl_weave,0.600,6,512,1.762734,-0.095527,0.499826,0.175113,22.991020,
fluid,curl_weave,0.600,5,512,1.803960,-0.076801,0.540597,0.175355,24.403103,
fluid,curl_weave,0.600,1,512,1.810068,-0.108512,0.448639,0.229568,36.042058,
fluid,curl_weave,0.600,7,512,1.779440,-0.066556,0.486879,0.160280,25.799089,
fluid,curl_weave,0.600,4,512,1.810054,-0.106658,0.607070,0.179937,31.900972,
fluid,curl_weave,0.600,8,512,1.796686,-0.081289,0.434058,0.167181,33.517519,
fluid,curl_weave,0.600,9,512,1.786086,-0.103180,0.447146,0.192001,23.833077,
fluid,curl_weave,0.600,10,512,1.706894,-0.085772,0.475380,0.198266,24.547073,
fluid,curl_weave,0.600,11,512,1.766316,-0.112312,0.433245,0.177959,24.797882,
fluid,curl_weave,0.700,2,512,1.752497,-0.127043,0.411588,0.176371,26.284885,
fluid,curl_weave,0.700,1,512,1.704971,-0.131724,0.473370,0.221328,30.824266,
fluid,curl_weave,0.700,0,512,1.718794,-0.125088,0.537963,0.159070,32.311399,
fluid,curl_weave,0.700,6,512,1.708749,-0.106031,0.494523,0.173334,23.474262,
fluid,curl_weave,0.700,4,512,1.743147,-0.130395,0.609221,0.176991,31.308305,
fluid,curl_weave,0.700,3,512,1.748319,-0.096292,0.509541,0.174246,41.961468,
fluid,curl_weave,0.700,5,512,1.754326,-0.092849,0.531733,0.175805,30.507545,
fluid,curl_weave,0.700,8,512,1.707586,-0.102800,0.449629,0.167454,26.653417,
fluid,curl_weave,0.700,9,512,1.769005,-0.125699,0.450694,0.191377,26.414078,
fluid,curl_weave,0.700,7,512,1.762049,-0.077092,0.482974,0.159553,41.044507,
fluid,curl_weave,0.700,10,512,1.674129,-0.121907,0.469567,0.194607,42.296517,
fluid,curl_weave,0.700,11,512,1.723167,-0.150264,0.431372,0.177018,31.071957,
fluid,curl_weave,0.800,0,512,1.693487,-0.131206,0.527121,0.161425,36.552408,
fluid,curl_weave,0.800,2,512,1.693856,-0.140485,0.422301,0.174170,34.992378,
fluid,curl_weave,0.800,4,512,1.617783,-0.136973,0.602851,0.174136,30.456596,
fluid,curl_weave,0.800,1,512,1.684870,-0.141022,0.448471,0.219796,42.947867,
fluid,curl_weave,0.800,3,512,1.687303,-0.104105,0.538104,0.179201,39.701572,
fluid,curl_weave,0.800,5,512,1.695850,-0.101698,0.532111,0.175935,39.166794,
fluid,curl_weave,0.800,7,512,1.748926,-0.115362,0.479936,0.157684,28.496392,
fluid,curl_weave,0.800,8,512,1.664926,-0.151337,0.453081,0.169174,34.960492,
fluid,curl_weave,0.800,9,512,1.685382,-0.129305,0.454822,0.189270,35.680067,
fluid,curl_weave,0.800,10,512,1.623524,-0.131879,0.481036,0.193874,31.492419,
fluid,curl_weave,0.800,6,512,1.636964,-0.133634,0.502515,0.170742,46.247420,
fluid,curl_weave,0.800,11,512,1.690212,-0.153618,0.433087,0.174602,33.323076,
fluid,curl_weave,0.900,0,512,1.645923,-0.151223,0.510903,0.171905,34.292389,
fluid,curl_weave,0.900,1,512,1.638684,-0.131819,0.438531,0.214701,33.044543,
fluid,curl_weave,0.900,2,512,1.657769,-0.124423,0.421942,0.173728,33.312619,
fluid,curl_weave,0.900,4,512,1.631072,-0.128770,0.582647,0.171515,30.672713,
fluid,curl_weave,0.900,5,512,1.683966,-0.103593,0.532851,0.171519,31.856811,
fluid,curl_weave,0.900,3,512,1.675811,-0.124269,0.519558,0.179083,36.399595,
fluid,curl_weave,0.900,6,512,1.619621,-0.138117,0.502396,0.176595,38.230507,
fluid,curl_weave,0.900,7,512,1.686653,-0.138124,0.446214,0.163520,42.274309,
fluid,curl_weave,0.900,8,512,1.644417,-0.160566,0.436731,0.171194,36.818228,
fluid,curl_weave,0.900,10,512,1.642237,-0.150926,0.459538,0.190923,30.430443,
fluid,curl_weave,0.900,9,512,1.659523,-0.147969,0.446748,0.184027,32.722094,
fluid,curl_weave,1.000,0,512,1.597478,-0.157412,0.486281,0.165138,32.035429,
